"PointID","x","y","Pressure","Velocity_x","Velocity_y","Enthalpy","Turb_Kin_Energy","Omega","Species_0","Species_1"
83, 4.500000000000000e-02, 1.080161078975803e-02, 2.580481991391919e+00, 1.045161354422825e+00, -1.720481272365198e-01, 3.014108999999999e+05, 2.767590959346999e-03, 2.297370333118621e+02, 5.061610304185148e-01, 4.694123514890976e-01
84, 4.500000000000000e-02, 1.025274064251034e-02, 2.564158815811282e+00, 1.074132056600549e+00, -1.761278903157338e-01, 3.014108999999998e+05, 3.006535242578104e-03, 1.465574206550407e+02, 5.047426464663916e-01, 4.760939225884844e-01
85, 4.500000000000000e-02, 9.642884911550830e-03, 2.545965380035384e+00, 1.094846801101478e+00, -1.763968713495759e-01, 3.014108999999998e+05, 3.283342436876524e-03, 9.458068371646812e+01, 5.035771877776006e-01, 4.817773983026709e-01
86, 4.500000000000000e-02, 8.965267442911535e-03, 2.525855069653376e+00, 1.112308955366303e+00, -1.733611727263911e-01, 3.014108999999998e+05, 3.573881487531412e-03, 6.412911842127339e+01, 5.026440083408346e-01, 4.864607021607603e-01
87, 4.500000000000000e-02, 8.212359142396607e-03, 2.504036108930332e+00, 1.128998723746006e+00, -1.670762641267779e-01, 3.014109000000000e+05, 3.856310928027134e-03, 4.699899035018939e+01, 5.019027377982163e-01, 4.901889853820079e-01
88, 4.500000000000000e-02, 7.375794365501551e-03, 2.481190485203744e+00, 1.145640303848263e+00, -1.572536905373330e-01, 3.014109000000000e+05, 4.108625467706036e-03, 3.759802163455731e+01, 5.013144834733562e-01, 4.930643658910863e-01
89, 4.500000000000000e-02, 6.446277951977990e-03, 2.458205157800157e+00, 1.162223615383212e+00, -1.434576280316049e-01, 3.014109000000000e+05, 4.276102821067202e-03, 3.257928695587972e+01, 5.008445403728322e-01, 4.952182027552695e-01
90, 4.500000000000000e-02, 5.413481934892678e-03, 2.436013546234775e+00, 1.178446795770959e+00, -1.251972749182957e-01, 3.014109000000000e+05, 4.381409056780020e-03, 3.004732825039519e+01, 5.004614318440931e-01, 4.967704421913549e-01
91, 4.500000000000000e-02, 4.265930804978347e-03, 2.415729030573712e+00, 1.193624451630405e+00, -1.019752892977454e-01, 3.014109000000000e+05, 4.451364455950594e-03, 2.890688295474434e+01, 5.001416711828574e-01, 4.978229103951610e-01
92, 4.500000000000000e-02, 2.990874001135192e-03, 2.398702081368042e+00, 1.206644363351257e+00, -7.339936391861480e-02, 3.014109000000000e+05, 4.498300352757190e-03, 2.849048564768896e+01, 4.998741718802054e-01, 4.984662877531989e-01
93, 4.500000000000000e-02, 1.574144215583106e-03, 2.386601288271936e+00, 1.215984358027114e+00, -3.931093002542044e-02, 3.014108999999998e+05, 4.526311995746043e-03, 2.838437745174893e+01, 4.996673002109253e-01, 4.987870227999626e-01
94, 4.475285257497685e-02, 0.000000000000000e+00, 2.389206438868504e+00, 1.213506555858326e+00, 0.000000000000000e+00, 3.014109000000000e+05, 4.496870238015298e-03, 2.814037929379640e+01, 4.995807829563016e-01, 4.989535622091614e-01
95, 4.447824434797871e-02, 0.000000000000000e+00, 2.397123133700899e+00, 1.206938917118997e+00, 0.000000000000000e+00, 3.014109000000000e+05, 4.451784861014467e-03, 2.787710679618005e+01, 4.995892103980682e-01, 4.990327218895056e-01
96, 4.417312410740234e-02, 0.000000000000000e+00, 2.405520850744195e+00, 1.199929273224090e+00, 0.000000000000000e+00, 3.014109000000000e+05, 4.401322871413577e-03, 2.759844465467112e+01, 4.995970855879718e-01, 4.991090446143912e-01
97, 4.383410160771736e-02, 0.000000000000000e+00, 2.414380906698318e+00, 1.192483670078166e+00, 0.000000000000000e+00, 3.014109000000000e+05, 4.345748759334504e-03, 2.731182837774362e+01, 4.996046196127938e-01, 4.991820552774939e-01
