"PointID","x","y","z","Pressure","Velocity_x","Velocity_y","Velocity_z","Turb_Kin_Energy","Omega"
96, 5.115142190218425e-02, 0.000000000000000e+00, 0.000000000000000e+00, 3.578190334671891e+01, 5.442902698693838e-02, -6.357247880547458e-15, 5.132449647640930e+00, 2.764700851940790e+00, 9.556956691897583e+03
97, 5.020847411235696e-02, 0.000000000000000e+00, 0.000000000000000e+00, 3.605330754721518e+01, 1.208743829000739e-01, 0.000000000000000e+00, 6.647670201886413e+00, 2.058674108367704e+00, 4.124103543282720e+03
98, 4.916075434803258e-02, 0.000000000000000e+00, 0.000000000000000e+00, 3.614814628444131e+01, 1.744647587733957e-01, 0.000000000000000e+00, 7.502190652651796e+00, 1.732331205239988e+00, 2.378029555084132e+03
99, 4.799662127442250e-02, 0.000000000000000e+00, 0.000000000000000e+00, 3.633272538809146e+01, 2.275035789012732e-01, 0.000000000000000e+00, 8.114975636951057e+00, 1.559304539838622e+00, 1.605722065061731e+03
100, 4.670314008189536e-02, 0.000000000000000e+00, 0.000000000000000e+00, 3.656397468157549e+01, 2.793224318780735e-01, 0.000000000000000e+00, 8.603623017592829e+00, 1.441908839714367e+00, 1.194566416691738e+03
101, 4.526593875614804e-02, 0.000000000000000e+00, 0.000000000000000e+00, 3.686039099905229e+01, 3.308842757308694e-01, 0.000000000000000e+00, 9.024109311479920e+00, 1.343010728319013e+00, 9.440026165986817e+02
102, 4.366904839890662e-02, 0.000000000000000e+00, 0.000000000000000e+00, 3.722590456437874e+01, 3.822375237156946e-01, 0.000000000000000e+00, 9.405533785046778e+00, 1.243547141289517e+00, 7.718620317427858e+02
103, 4.189472577704922e-02, 0.000000000000000e+00, 0.000000000000000e+00, 3.766915175045328e+01, 4.330158722134992e-01, 0.000000000000000e+00, 9.762445151798600e+00, 1.131878438260983e+00, 6.384329668340245e+02
104, 3.992325619841086e-02, 0.000000000000000e+00, 0.000000000000000e+00, 3.819890167568325e+01, 4.821636747458010e-01, 0.000000000000000e+00, 1.009707598030495e+01, 1.002443174333417e+00, 5.233819390913478e+02
105, 3.773273443907588e-02, 0.000000000000000e+00, 0.000000000000000e+00, 3.882307341010978e+01, 5.281953147776826e-01, 8.203807873808952e-15, 1.039977614992399e+01, 8.588651053348697e-01, 4.199139823472242e+02
